cadvisor


0.09223947132511762 0 0.5394068238010596 0 0.6316462951261772
0.20548182981219784 0 0.3430865732754206 0 0.5485684030876185
0.16949227106476378 0 0.3765910419809546 0 0.5460833130457184
0.3533468547402396 0.19658265166031816 0.5587017312875879 0.20105265760762822 1.309683895295774
-----------------------------------------------------------------------------------------------------
optimistic_johnson


0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
-----------------------------------------------------------------------------------------------------
